s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
380k	13865.7	12599.9	12069.1	11230.3	10439.1	9414.08	7763.84	7785.29	7992.24	7653.24	7311.25	6941.69	6545.98	6177.57	4868.09	5525.82	5454.8	5372.02	5285.82	5197.78	
379k	13152.7	11898.7	11889.2	11190.8	10277.1	9578.86	8833.04	8386.67	8048.69	7697.66	7317.8	6938.43	6561.47	6163.73	5765.85	5472.45	5387.45	5373.24	5291.46	5196.66	
378k	13866.5	13050.1	12109.7	11190.3	10154	9564.53	8844.22	8351.83	8016.01	7654.72	7337.59	6960.88	6553.67	5223.05	5854.11	5541.91	5458.59	5340.09	5291.1	5190.98	
377k	12735.6	12563.8	12058.3	11082.9	9148.22	8031.64	8605.95	8228.72	7981.82	7668.01	7270.89	6795.72	6548.82	6158.15	5861.88	5561.75	5470.15	5382.09	5323.53	5206.09	
376k	13128.9	12499.5	12113.4	11239.5	10445.6	9457.63	8772.24	8227.29	8053.52	7739.22	7385.45	7012.9	6608.64	6247.05	5842.77	5598.78	5507.33	5416.15	5351.14	5224.52	
375k	12752.9	12608.9	12118.7	11231	10284	9629.39	8830.33	8459.76	8108.63	7618.99	6259.01	4632.57	6022.02	6121.06	5863.76	5567.75	5529.55	5439.23	5358.35	5250.41	
374k	13175.6	11922.2	12129.4	11239.4	10382.1	9418.78	8805.36	8323.74	8069.02	7741.99	7415.42	7088.91	6569.6	6295.45	5950.53	5647.25	5548.66	5450.02	5371.24	5260.79	
373k	13153.8	12603.6	11277.6	11265.2	10471.8	9505.85	8813.98	8354.74	8090.95	7790.64	7432.35	7064.95	6678.55	6299.56	5898.58	5581.27	5571.62	5473.55	5357.68	5193.61	
372k	12442	12625.7	12121	10149.9	10313.6	9668.32	8878.14	8364.95	8113.18	7766.46	7457.52	6951.16	6615.79	6346.66	6006.02	5703.12	5599.48	5497.22	5393.36	5226.33	
371k	13867.6	12635.4	12136.6	11219	10317.2	9667.49	8881.62	7390.25	8190.9	7832.57	7512.04	7121.01	6752.73	6386.83	6042.8	5737.9	5623.7	5523.13	5416.08	5342.31	
370k	13446.7	12626.4	9136.28	11269.7	10481.2	9545.68	8861.68	8405.9	6845.53	7847.98	7502.84	7134.34	6741.46	6406.24	6049.21	5737.52	5634.46	5531.23	5426	5337	
369k	12888.9	12364.5	12142.3	11302.6	10514.1	9542.08	8893.69	8414	8124.47	7839.44	7463.01	7049.66	6758.23	6396.01	4990.23	5751.53	5633	5529.01	5433.81	5335.67	
368k	13177.4	12636.8	11138.9	11285.2	10830.4	9718.25	8757.15	8421.5	8000.87	7616.51	7415.19	7133.48	6770.1	6380.26	6045.39	4675.02	5640.4	5527.95	5434.15	5335.58	
367k	13870.6	13268.5	12010.3	11221	10291.9	9532.14	8873.51	8415.11	8150.12	7863.87	7510.72	7144.62	6766.92	6409.23	6057.42	5761.92	5650.44	5549.32	5458.23	5349.68	
366k	12806	12547.2	11171.6	11241.6	10340	9686.98	7869.71	8526.28	8198.86	7866.06	7510.51	7146.19	6762.45	6402.44	6055.59	5702.91	5579.77	5399.47	5379.26	5341.88	
365k	13070	12616.8	12148.6	11293.1	10496.6	9706.01	8913.77	8587.98	8322.78	7719.51	7344.15	7150.56	6771.75	6410.24	6070.86	5762.35	5655.77	5559.6	5450.15	5349.21	
364k	13127.2	12518.4	12148.3	11278.4	10522.6	9558.35	7724.94	8393.44	8142.91	7866.59	7523.61	7152.27	6775.37	6408.81	5986.87	5758.98	5648.53	5544.34	5453.2	5366.4	
363k	13166.4	12490.4	12059.6	10060	10475.7	9572.19	8902.96	8427.96	8182.66	7865.65	7538.48	7158.87	6779.83	6424.93	6082.06	5764.96	5659.61	5556.03	5461.9	4266.86	
362k	13129.2	12627.9	12135.7	11259.4	10348.6	9724.85	8906.56	8547.85	8213.25	7891.81	7543.02	7167.32	6776.66	6348.24	6073.95	5762.7	5625.04	4557.41	5472.28	5364.83	
361k	12767.2	12630.8	12143.3	11295.6	10519.9	9737.08	9025.54	8651.79	7359.72	5367.16	7064.15	7051.97	6632.13	6355.76	6087.49	5780.8	5664.54	5561	5491.89	5384.58	
360k	13180.3	12566.1	12137.3	11176.2	10281.4	9713.34	9035.97	8557.39	8221.6	7881	7563.86	7166.39	6787.53	6431.64	5972.41	5777.51	5675.85	5576.98	5473.86	5383.4	
359k	13172	11944.3	12147.8	11226.6	10522.8	9580.5	8912.13	8457.48	8196.71	7874.57	7536.44	7189.36	6804.79	6430.96	6088.57	5788.72	5677.2	5576.18	5483.85	5330.07	
358k	12554.8	12586.3	12153.4	11255.6	10367.3	9740.83	7796.77	8559.09	8232.01	7906.88	7579.53	7191.42	6816.62	6362.93	6029.2	5769.54	5688.42	5588.79	5495.33	5400.64	
357k	13151.3	12645.5	12178.1	11299.8	10541.5	9591.49	8923.61	8428.79	8206.42	7892.09	6238.9	7213.79	6842.55	6479.12	6130.67	5836.28	5704.74	5611.34	5517.26	5404.3	
356k	13171	12070.8	11811.1	11306.7	10371	9580.25	8895.97	8250.92	8144.13	7960.78	7625.05	7260.66	6897.2	6551.89	6201.96	5805.08	4683.15	5643.99	5570.59	5454.25	
355k	13183.5	12543.7	12167.9	11329.8	10475.8	9614.57	8958.22	8566.15	8298.71	7977.67	7648.74	7270.02	6903.66	6544.23	6202.43	5901.18	5782.1	5671.41	5576.93	5454.72	
354k	12735	12635.4	12181.5	11313.5	10421.1	9800.47	9112.23	8647.66	7006.86	7971.33	7625.52	7287.18	6914.2	6549.86	6208.09	5908.4	5716.41	4582.8	5485.53	5466.28	
353k	13807.4	12026	12169.8	11289.2	10417.2	9778.45	9088.09	8620.17	8270.22	7964.91	7494.16	7192.45	6901.08	6527.5	5010.73	5914.48	5783.21	5677.89	5561.27	5470.47	
352k	13171	12630.8	12175.5	10030.7	10369.4	9787.9	9105.15	7409.31	8313.44	8081.14	7460.6	6033.71	6918.91	6561.33	6219.97	5901.89	5791.03	5673.42	5569.68	5489.66	
351k	12785.1	12639.5	11311.5	11155.4	10323	9703.22	9018.89	8658.82	8295.63	7996.92	7647.66	7296.11	6935.34	6549.57	6224.61	5925.71	5804.86	5669.34	5581.13	5478.93	
350k	12766.5	12607.3	12185.1	11330	10589.5	9664.75	9010.37	8406.14	8312.15	7990.26	7687.1	7303.77	6753.2	6546.18	6181.66	5921.73	5791.15	5667.16	5540.93	5521.22	
349k	12813	12657.5	12136.3	11329.2	10576.4	9900.83	9182.56	8594.8	8327.36	8014.25	7688.23	7318.53	6946.9	6574.53	6201.88	5197.56	4620	5206.68	5563.48	4391.7	
348k	13773.9	13233.8	12560.4	11361.9	11007.7	9696.91	8228.14	8170.63	8236.33	7985.29	7619.16	7365.34	7005.93	6633.29	6280.34	5967.33	5837.39	5730.95	5646.89	5555.31	
347k	13852.8	13292.2	12203.1	11380.3	10463.5	9927.88	9274.8	7493.87	8438.06	8090.31	7750.52	7382.79	7000.06	6550.66	6284.46	5970.69	5858.13	5768.59	5661.93	5562.06	
346k	13860.8	12646.9	12198.9	9052.76	10073.4	9531.08	8940.25	8652.67	8400.19	8094.22	7753.96	7383.76	7010.6	6680.48	6305.86	5993.68	5872.13	5752.71	5663.27	5592.88	
345k	12810	12564.7	12195.4	11385.5	10945.4	9984.64	9266.51	8811.21	8233.28	8084.36	7757.38	7362.1	7010.26	6658.57	6327.07	5982.64	5866.46	5759.58	5653.57	5582.84	
344k	13226.9	12610.5	12185.5	11412.8	10659.7	9775.38	9148.56	8716.38	8448.42	8119.47	7858.29	7398.65	7017.91	6647.49	6307.58	5917.58	5875.41	5767.09	5521.01	5531.23	
343k	12331.4	12651	12200.4	11387.4	9204.94	9887.57	9226.99	8777.85	8448.25	8175.74	7818.62	7257.77	6890.19	6596.76	6302.79	5997.55	5877	5778.73	5669.1	5597.74	
342k	13162.9	12646.3	12221.9	11414.5	10669.7	9787.31	9110.26	8734.1	8417.05	8092.73	7572.95	7408.69	7031.7	6655.6	6300.12	6007.44	5892.68	5792.41	5691.24	5595.07	
341k	13168.6	12649.1	11147.8	11381.1	10612.2	9598.65	9056.56	8599.27	8232.65	7949.64	7703.81	7405.31	7026.3	6644.91	6306.69	6012.98	5904.47	4724.73	5188.83	5607.66	
340k	13178.1	12654	12044.6	11411.1	10500.3	9934.36	9120.03	8797.71	8479.76	8109.38	7790.46	7406.23	7024.97	6664.06	6327.56	6009.79	5888.41	5789.98	5711.12	5627.32	
339k	13133.2	11885.7	12218.1	11399.9	10557.2	9947.32	9273.84	8800.55	8488.45	8140.41	7789.2	7425.09	7046.98	6589.89	6322.19	6013.1	5904.65	5794.46	5713.55	5628.38	
338k	13110	12420.6	12203.3	10155.9	10670.5	9805	9171.24	8733.99	8473.06	8164.78	7800.9	7450.52	7114.57	6727	6375.27	5980.38	5931.8	5708.25	5700.09	5570	
337k	12741.1	12649	12221	11428.3	10674.6	10104.3	9387.13	8912.03	8575.97	8029.52	7807.46	7380.59	7068.94	6724.78	6369.22	6044.81	4762.01	5854.38	5765.49	5672.22	
336k	12729.3	11900.3	12212.9	11891	10557.6	9975.19	9318.55	8823.53	8502.1	8138.77	7709.33	7406.6	7114.1	6607.91	6283.73	5943.22	5834.45	5770.06	5811.59	5715.4	
335k	13191.7	12664.5	12222.7	11462.2	10610.7	9965.35	7944.32	8856.1	8567.83	8250.04	7881.13	7511.88	7136.21	6766.56	6418.18	6094.27	5998.43	5891.14	5822.52	5738.03	
334k	13108.8	12653	12190.5	11467.5	10738.5	8638.63	9230.87	8826.78	8550.96	8243.43	7901.6	7540.59	7176.8	6800.64	6351.64	6144.33	6037.42	5910.61	5856.48	5759.9	
333k	13197.8	12667.2	12095.3	12006.7	10728.4	9674.92	9203.11	8844	8597.19	8268.47	7917.56	7578.25	7196.24	6821.07	6470.97	6160.71	6054.95	5954.05	5895.38	5793.03	
332k	12729.9	12570.1	12248.8	11471.8	10653.2	10049.1	9442.36	8989.52	8661.89	8306.58	7977.22	6574.98	6679.97	6921.74	6548.81	6203.9	6069.42	5971.91	5880.63	5826.66	
331k	13810.3	11896	12265.8	10278.6	10805.3	10002.1	9351.61	8919.62	8660.26	8325.96	7994.61	7643.74	7275.81	6893.7	6556.41	6248.38	6094.67	6016.86	5934.19	5826.47	
330k	11990.7	12545.9	12272.3	11522.7	10805.4	9960.84	9346.15	8897.58	8631.86	8200.23	7999.13	7633.34	7258.26	6894.08	6418.38	6278.91	5222.93	5237.86	5612.25	5635.12	
329k	13170.2	12678.5	11166.7	11477.8	10678.1	10365.6	9674.48	9215.97	8665.02	8288.23	7985.84	7492.59	7243.48	6900.82	6558.48	6221.08	6027.32	6003.1	5921.07	5730.97	
328k	13189.7	12670.4	12257.3	11512.3	10791.6	9968.8	9318.18	8094.49	8033.61	8322.76	6869	6727.93	7216.92	6880.04	6548.65	5933.97	5836.98	5836.77	5790.42	5788.69	
327k	13183.8	11759.8	12269	11515	10782.7	9937.39	9251.13	8761.14	8594.92	8319.75	7981.75	7597.31	7257.21	6884.33	6537.75	6232.17	6120.53	5898.21	5918.84	5831.42	
326k	13201.9	12672.1	12970	12013.2	10837.9	10337.8	9570.88	7596.08	8657.02	8322.65	7983.87	7649.75	7261.02	6919.81	6560.03	6246.33	6140.86	6021.3	5934.03	5826.48	
325k	13902.3	12086.9	12263.8	11478.9	8293.42	8657.93	9379.86	8883.61	8674.75	8348.8	8011.33	7624.49	7267.19	6901.07	6606.55	6243.7	4813.23	6017.72	5927.12	5833.11	
324k	13182.2	12655.5	12032.9	11502.9	10667.3	10089.5	9321.15	9008.45	8692.13	8356.09	8001.16	7648.56	7282.93	6909.56	6558.53	6252	6141.59	6038.8	5941.06	5849.25	
323k	13178.8	12587.6	11195.8	12081	11221.5	9974.34	9334.07	8901.71	8628.42	8327.08	8012.24	7626.03	7267.11	6906.88	6553.88	6242.22	4665.22	6037.06	5949.34	5849.29	
322k	13200.8	9974.37	12061.2	11503.1	10672.8	8464.07	9472.22	9021.31	8692.39	8318.66	7989.54	7633.35	7279.02	6893.97	6551.67	6257.29	6129.47	6018.49	5926.31	5835.26	
321k	12706.6	12681.3	12274.9	11526.3	10792.2	9967.61	9553.54	9121.59	8809.01	8309.74	7983.56	7626.34	7254.43	6896.25	6473.14	6141.85	6115.34	6015.85	5827.31	5810.54	
320k	13076.6	11807	12264.7	11492.1	10661.8	8710.82	9432.99	8977.42	8683.21	8328.46	7988.3	7636.72	7261.3	6893.11	6551.8	6244.32	6133.73	6016.42	5857.9	5649.69	
319k	12616.4	12667.1	12837.8	11503.7	10658.6	10082.9	9435.05	8996.13	8662.37	8336.95	7994.27	7633.83	7251.83	6873.55	6468.43	6071.28	6048.81	5902.42	5910.38	5837.11	
318k	13150.6	12672.1	12168.7	11532.6	10807.1	9875.21	9367.22	9123.23	8825.11	8327.11	8008.2	7609.35	7265.3	6912.24	6567.91	6238.77	4768.57	6025.66	5939.97	5854.62	
317k	13142.7	11736.8	12263.9	11513.4	10675.6	10097	9509.08	9051.49	8705.91	8380.06	8041.52	7601.94	6338.31	5510.98	5802.42	5027.11	6143.22	6057.44	5893.76	5879.45	
316k	13146.5	12675.8	12292.1	11568.1	10844.5	9945.27	9436.77	8953.62	8696.74	8436.05	8089.54	7775.91	7371.22	6995.33	6632.48	6315.18	6174.66	6085.43	5997.49	5923.29	
315k	13149.8	12632.3	12313	11625.1	10896.3	10090.9	9454.25	9067.07	8753.89	8431.88	6489.51	7762.68	7370.53	7008.11	6650.17	6344.17	6226.54	4721.46	6039.17	5953.93	
314k	13156.4	12686	12340.7	11606.6	10809.7	10205.1	9553.93	6494.12	7363.12	8230.22	7946.26	7742.68	7283.97	6999.91	6651.83	6347.4	6242.04	6118.14	6033.79	5962.64	
313k	13155	12613.2	12245.9	11613.3	10861.7	9981.84	9445.21	9116.15	8807.7	8482.42	8124.89	7807.27	7426.57	7067.31	6711.96	6390.12	6268.83	6151.79	6064.32	4475.03	
312k	13150.3	12690	12321.8	11554.8	10824.1	10229.5	9478.05	9146.12	8696.61	8542.47	8191.05	7845.73	7476.04	7092.02	6743.69	6435.31	6316.72	6183.54	6116.06	6009.06	
311k	13167.4	12718	12308.3	11661.5	10151.6	7958.48	9324.18	9041.64	8871.33	8450.53	8232.43	7890.09	7552.6	7163.33	6843.13	6529.07	6407.69	6266.07	6178.35	6103.2	
310k	13127.2	12711.4	12337.3	11431.4	10808.3	10275.1	9686.39	9242.91	8925.21	8584.19	8254.67	7759.71	7536.28	7173.59	6819.06	6523.53	6396.76	6262.07	6181.41	6067.51	
309k	13167.5	12708.7	12305.2	11645.4	9441.56	10268.4	9688.44	9220.23	8918.57	8578.89	8288.19	7927.41	7542.86	7192.73	6908.45	6584.41	6435.33	6295.66	6210.28	6111.22	
308k	13152.6	12700.4	12377.8	12071.7	11217.7	10158	9751.79	9438.44	9007.83	8797	8462.11	7903.84	7551.75	7201.08	6854.89	6535.85	6288.73	6284.21	6200.88	6086.58	
307k	13166.7	12724.7	12294.2	11553.5	10989.1	10216.1	9648.26	9061.85	8888.51	8582.18	8250	7934.21	7558.06	7205.99	6854.61	6542.83	6410.24	6291.79	6200.25	6097.68	
306k	13173.4	12714.7	12290.1	11673.4	9437.47	10275.9	9658.31	9249.3	8911.64	8600.49	8282.93	7901.9	7540.06	7168.99	6836.79	6527.83	6396.05	6279.31	6176.54	6099.43	
305k	12658.8	12701.2	12386.8	10128.2	10582.9	9991.48	9687.18	9260.45	8776.96	8799.53	8258.67	6129.62	7538.45	7183.43	6822.22	6558.35	6416.92	6256.99	6175.47	6090.82	
304k	13160.1	12694.6	12206.2	10666.7	10347.4	10206.1	9579.1	9260.62	8935.48	8597.89	8281.05	7893.25	7533.19	7170.55	6810.38	6524.66	6386.19	6251.76	6174.35	6079.26	
303k	12678.2	12666.9	12381.6	10420.4	10948.8	10222.6	9438.67	7627.41	8897.39	8581.99	8251.47	7910.95	7532.44	7157.85	6808.29	6393	6391.88	6255.99	6179.94	6080.1	
302k	13174.8	12707.3	11327.1	11359.5	10484.7	10162.3	9462.83	9202.45	8913.7	8593.15	8264.93	7916.27	7547.15	7197.04	6841.08	6530.97	6399.02	6267.65	6191.79	6107.31	
301k	13168.4	12671	11997	11638.5	10849.2	10314	9704.41	9264.52	8952.43	8622.21	8281.9	7903.66	7542.04	7194.77	6860.36	6322.74	6420.47	6298.6	6215.85	6124.57	
300k	13141	12684.5	12376.9	11663.5	9544.67	10232.5	9584.81	9199.46	8929.59	8612.38	8264.87	7954.02	7461.74	7222.61	6870.87	6563.34	6434.86	6313.02	6226.6	6149.56	
299k	13172.9	12709.9	12401.3	9563	9662.91	10149.5	9724.58	9285.31	8938.91	8539.93	8294.49	7945.66	7561.56	7200.19	6864.58	6558.32	6481.77	6337.89	6228.45	6153.08	
298k	13169.4	12649.5	12251.8	11559.3	10877.1	10275.7	9724.03	9284.3	8942.89	8590.21	8282.73	7924.87	7571.89	7187.56	6852.91	6523.82	6410.81	6288.86	6226.88	6037.45	
297k	13174.3	12702.4	12320.7	11672.1	10789.7	10257.7	9680.31	9281.66	8961.07	8607.45	6484.87	7904.39	7540.08	7181.49	6825.91	6532.63	6415.05	6298.93	6210.47	6138.73	
296k	13175.6	12718.1	12390.4	10932	8033.37	10007.4	9479.94	9282.68	8922.36	8754.14	8409.53	7853.27	7607.99	7217.92	6885.86	6534.71	6423.66	6299.14	6199.86	6145.43	
295k	12721.2	12715.3	12366.7	11543	10789.4	10287.6	9700.36	9276	8932.68	8608.38	8277.27	8019.74	7629.72	7237.98	6882.15	6524.29	6293.52	6264.09	6212.73	6118.05	
294k	13177.2	12711.7	12387.5	11578.5	10848.7	10293.2	8085.15	9289.79	7266.27	8649.77	8296.35	7911.3	7543.57	7201.32	6837.97	6535.01	6413.24	6293.6	6211.58	6123.93	
293k	13174.6	12731.2	13102.7	11686.7	10982.5	10054.5	7844.74	8962.99	8705.87	8628.25	8290.83	7945.16	7580.46	7204.72	6821.82	6424.38	6418.95	6297.04	6244.86	6147.9	
292k	12683.9	12722	12399.5	11711.2	10927.5	10034.5	9548.45	9230.33	8974.05	8640.47	8269.04	7955.57	7591.86	7206.24	6851.38	6251.84	6431.61	6305.18	6250.99	6189.5	
291k	13180.5	12727.4	12445.2	11704.6	11428.8	10460.2	9924.74	9426.68	8736.76	8588.95	8316.91	7985.44	7604.24	7236.21	6860.74	6552.49	6463.6	6353.19	6283.35	6210.56	
290k	13174.9	12730.2	12399.1	11592.4	10980.6	10272.4	9686.18	9276.06	8909.19	6928.93	6608.66	7740.62	7399.17	7249.44	6891.04	6478.14	6487.7	6360.61	6305.98	6241.96	
289k	13126.4	12735.1	12411.5	11723.6	10924.4	10372.9	9850.5	9366.58	9016.5	8455.82	8271.33	7979.92	7645.13	7289.52	6910.43	6592.81	6502.07	6249.19	6345.33	6276.46	
288k	13180.7	12722.2	12430.9	11761.8	11034.6	10330.7	9757.92	9334.03	9063.4	8489.89	8364.69	8027.02	7670.28	7308.4	6925.85	5163.72	6551.23	6428.93	6360.28	6309.42	
287k	13185.5	12731.5	12428.4	10753.8	10469	10417.3	9859.29	9439.14	9129.75	8752.21	8438.72	8088.17	7695.08	7350.96	6897.96	6423.64	4999.07	6218.01	6285.61	6218.73	
286k	13178	11827.4	12467.7	11798.1	11066.9	10439.4	9917.74	9479.81	9092.59	8760.24	8459.48	8103.34	7715.91	7315.21	6992.79	6553.06	6477.19	6370	6415.13	5175.81	
285k	13102.1	12733.2	12455.1	11835.2	11072.7	10369.4	9772.26	9369.46	9101.63	8774.71	8466.08	6224.34	7745.04	7340.05	7006.53	6682.25	6459.44	6461.78	6424.09	6362.44	
284k	12633.2	11949.6	12430.2	11826.8	10966.3	10354.9	9839.19	9370.28	9105.05	8824.14	8472.69	8141.61	7746.17	7394.22	7031.2	6698.26	6604.79	6496.23	6449.3	6392.28	
283k	11756.4	12676	12450.7	11685.8	11059.2	10472.3	9897.81	9493.16	9176.96	8836.35	8490.72	8143.92	7771.72	7418.68	7053.25	6726.48	6621.3	6513.07	6458.33	6419.47	
282k	13061.5	12750.3	12475.1	11818.5	11050.9	10460	9929.9	9481.58	8928.52	8815.38	8496.79	8147.29	7769.97	7417.88	6922.98	6756.77	6645.49	6552.84	6490.82	6437.49	
281k	13153.1	12152	11845	11823.1	11051.5	10483	9954.14	9394.85	9182.74	8816.86	8514.7	8239.98	7820.59	7425.75	7079.69	6761.51	6663.83	6552.57	6476.67	6444.29	
280k	13179.8	12735.7	10026.5	11353.3	11013	10493.6	9930.47	9510.52	9186.52	8873.26	8445.99	8149.71	7799.74	7429.44	7082.04	6751.61	6668.17	6553.82	6501.9	6460.57	
279k	13183.7	12649.9	12329.2	11720.6	11075.7	10415	9848.13	9442.92	9187.26	8861.63	8537.24	8250.28	7888.86	7499.56	7095.01	6800.52	6691.81	6568.45	6517.5	6436.73	
278k	13170.6	12738.1	12469.6	11756.1	11076.2	10405.3	9887.33	9339.88	9187.61	8868.89	8535.57	8220.19	7852.72	7361.21	7087.64	6773.36	6674.77	6597.61	6522.76	6480.92	
277k	13186.3	12749.6	12465.8	11850.1	11116.4	10506.1	9937.17	9394.26	8102.22	5071.45	7570.22	7954.78	7577.09	7477.62	7136.06	6790.31	6754.62	6661.54	6557.38	6498.05	
276k	13170.9	12744.7	12475.9	11732.2	11090.5	10515.7	9974.55	9567.19	9209.34	8904	8371.62	8092.58	7745.25	7494.21	7137.12	6816.08	6724.86	6611.06	6581.07	6528.71	
275k	13184.6	12691.5	12471.5	11878.9	11111.9	10445.8	9904.57	9478.62	9210.64	8925.06	8790	8403.46	7978.09	7485.62	7175.07	6865.72	6774.7	6605.92	6552.05	6476.9	
274k	12918.4	12757.2	12464.6	11841.9	11094	10458.9	9911.33	9511.88	9215.47	8897.15	8720.89	8359.61	7856.34	7481	7091.89	6670.88	6692.08	6581.35	6547.86	6503.66	
273k	12167	12765.8	12456.3	11883.7	10997.1	10448	9949.97	9498.7	8932.35	8927.43	8537.71	8199.41	7950.43	7577.47	7093.92	6790.57	6694.46	6587.15	6535.16	6547.28	
272k	13096.9	12754.6	12468.8	11834.4	11005.7	10426.8	9901.26	9479.16	9177.75	8858.72	8530.88	8171.79	7805.5	7454.57	7097.91	6782.3	6682.66	6583.3	6512.45	6506.75	
271k	13190.3	12674.3	11161.6	11857.6	11065.5	10475.3	9961.55	9532.18	9183.98	8878.69	8513.26	8185.55	7812.47	7440.87	7071.87	6758.74	6659.4	6574.94	6521.37	6506.57	
270k	13167.4	12762.9	12463.8	11757.9	8269.95	10052	9823.36	9491.01	9194.41	8893.98	8546.54	8199.64	7801.94	7417.76	7043.77	6764.27	6654.04	6448.96	6347.83	6483.02	
269k	13188.4	12758.1	12469.7	11835.4	11052.3	10252.8	9803.34	9417.07	9145.46	8830.85	8530.05	8185.17	7800.32	7424.3	7057.16	6726.89	6654.15	6547.41	6499.73	6499.17	
268k	13188.7	12754.8	12483.3	11848.7	11116.1	10438.3	9876.11	9335.95	9120.22	8857.04	8509.04	8156.72	7789.9	6107.99	7034.21	6758.77	6666.69	6548.69	6510.9	6471.8	
267k	13189.2	12756.6	12486.6	10209.3	11081.7	10411.5	9901.54	9429.53	9184.75	8886.95	8556	8190.44	7807.59	7445.97	7066.26	6726.13	5298.29	5521.79	4729.15	6285.35	
266k	13145.4	11554.6	12414.3	11861.8	11131.3	10454.8	9952.94	9468.61	9167.58	8850.92	8553.49	8192.09	7827.26	7466.02	7083.56	6783.06	6684.3	6528.72	6553.42	6510.91	
265k	12684	12741.9	12477.7	11897.1	11119.4	10468.1	9962.89	9594.17	9248.21	8938.37	8587.57	8248.46	7859.76	7508.79	7147.09	6804.19	6732.07	6516.27	6571.03	6544.28	
264k	13166	11762.2	12478.8	11718.3	9506.99	10539.1	9988.88	9514.69	9299.61	8951.56	8619.83	8084.17	7863.97	7543.87	7154.6	6854.53	6773.9	6662.35	6610.79	6585.46	
263k	13194	12751	12290.3	10098.9	10795	10549.5	9836.02	9579.48	9290.15	8994.99	8845.23	8452.99	8084.17	7563.82	7203.5	6867.63	6748.2	6625.72	6633.59	6628.11	
262k	13194.2	12758.3	12479.7	11688.9	11063.3	10392.9	9941.84	9723.91	9341.64	9001.23	8624.6	8281.78	7930.05	7539.44	7235.44	6851.91	6768.66	6667.8	6627.74	6621.06	
261k	13149.3	12704.9	12477.2	11868.3	11623.9	10497.2	10026.7	9608.5	9277.8	8969.3	8663.84	8294.35	7912.04	7517.41	7031.62	6838.11	6763.12	6682.15	6609.15	6618.16	
260k	13162.6	12747.3	12480.9	11899.7	11179.9	10495	10029.3	9655.22	9292.05	8964.91	8652.15	8278.85	7925.7	7558.19	7165.23	6856.99	6768.81	6674.22	6557.28	5384.5	
259k	12712.9	12754.6	12479	11870.7	11122.9	10453.3	10110.3	9669.08	9384.06	9004.58	8678.22	8297.85	7919.15	7537.08	7176.2	6867.52	6767.43	6542.8	6660.37	6622.19	
258k	13110.1	12770.3	12538.5	11894.2	11191.7	10605.5	10101.1	9713.23	9405.74	8978.79	8665.7	8336.68	7815.55	7599.43	7230.12	6916.95	6818.78	6722.7	6694.66	6650.52	
257k	13198.7	12692.3	12506.9	11816.7	9500.37	10637.8	10154.5	9798.29	7292.61	9098.77	8719.74	8424.7	8030.77	7633.24	7288.5	6989.51	6874.38	6778.06	6730.03	6690.53	
256k	13196.2	12776.8	13051.8	12573.7	11722.7	8724.01	8747.19	7569.07	8259.46	8793.28	8722.08	8443.95	8094.55	7721.24	7356.89	7030.73	6926.66	6835.16	6763.43	6742.01	
255k	13184.2	12725.7	12519.1	11721	11225.9	10694.5	10241.1	9844.08	9546.76	9114.71	8869.11	8431.56	7869.58	7669.94	7395.14	7153.13	7059.15	6968.21	6903.46	6776.99	
254k	13199.7	12688.2	12551	11981.9	11272.7	10634.7	10192.5	9828.53	9502.87	9206.86	8930.73	8589.27	8257.05	7908.09	7544.01	7220.65	7106.43	7004.49	6919.58	6770.8	
253k	12552.3	12782.3	12550.5	11952.8	11277.7	10749.9	10258.3	9889.57	9534.61	9293.99	8963.65	8630.7	8312.48	7940.02	7605.15	7279.66	7175.62	7060.79	6977.92	6908.05	
252k	12599.4	12743.9	9616.27	11656.1	11304.1	10808.8	10358.9	9957.58	9649.78	9378.36	9066.31	8758.48	8355.93	7980.95	7665.26	7353.44	7231.61	7086.08	6882.8	6932.38	
251k	13169.8	12816.7	12708.7	12160.2	11404.7	10621.1	10134	10044.6	9713.87	9346.79	9024.51	8729.5	8325.33	7947.05	7696.04	7365.29	7204.05	6932.09	6973.83	6901.87	
250k	13206.5	12808.4	12711.8	12214.3	11480.7	10856.1	10392.9	10085.4	9670.95	9320.75	8926.12	8662.73	8357.38	8010.74	7526.42	7412.76	7190.2	7109.72	5354.33	6890.91	
249k	13213.8	12819	12711.3	12227.9	11482.6	10894.3	10418.2	10092.5	9594.93	9389.29	8955.3	8511.18	8325.98	8012.6	7695.79	7353.4	7264.99	7108.66	6915.73	6882.48	
248k	12111.3	12519.1	12700.3	12190.2	11418.8	10890.5	10895.3	10418.6	8164.64	8500.3	9040	8744.92	8099.48	7990.26	7683.02	7377.86	7229.28	7112.82	6978.53	6880.35	
247k	13202.6	12767.8	12439.9	11969	11467.8	10912.2	8846.47	9185.62	9658.92	9403.91	8985.36	8677.88	8318.23	7949.28	7629.83	7338.15	7212.39	7089.16	6972.41	6862.98	
246k	13213.1	12800.1	12711.6	12206	11506.7	10769.1	10249	10346.2	10137.6	9405.99	9027.12	8692.63	8300.63	7961.93	7730.3	7383.71	7252.78	7102.98	7004.51	6954.03	
