s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
482k	12804.5	12553.4	11845	10696.6	9765.19	7977.94	7503.9	7520.16	7196.53	6578.29	6562.48	6211.66	5852.48	5504.64	5179.73	4899.93	4133.44	4644.21	4539.88	4445.83	
481k	12510.9	12498.1	11847.9	10679.5	9747.82	8586.93	7854.35	7424.65	7189.74	6889.94	6288.8	6212.43	5845.79	5509.39	5195.95	4908.13	4761.6	4641.89	4535.35	4449.32	
480k	12834.2	12531.8	11853.9	10714.5	9744.22	8513.63	7880.55	7427.95	7185.71	6928.91	5213.36	5872.99	5860.9	5510.16	5194.48	4836.82	4768.36	4651.44	4555.06	4459.3	
479k	13134.4	12025	11845.3	10661	9565.84	8796.5	8023.35	7565.31	7249.17	6828.14	6591.63	6224.28	5881.09	5523.19	4744.71	4916.79	4775.57	4666.13	4552.33	4465.32	
478k	13104.5	12533.8	12100.9	9637.93	9644.96	8610.89	7877.36	7405.69	7236.19	6914.77	6604.65	6244.28	5880.58	5540.22	5202.61	4856.81	4770.6	4660.89	4559.31	4477.31	
477k	13134.9	12520.3	11861	10720.4	9759.14	8148.08	7899.64	7411.67	7250.25	6763.09	6610.53	6248.48	5889.66	5542.99	5211.51	4927.02	4783.25	4668.01	4562.23	4482.58	
476k	12524.9	12542.3	11858.4	10693.4	8791.13	8802.61	7952.6	7574.72	7283.47	6970.59	6636.2	6270.22	5896.77	5485.37	5219.82	4899.84	4805.79	4682	4577.44	4495.91	
475k	12858.4	12459.4	11862.4	10749	9807.8	8647.34	7931.32	7455.59	7298.25	6499.11	5144.64	6260.52	5893.48	5548.65	5235.29	4941.98	4812.05	4686.42	4588.69	4515.48	
474k	13094.3	12510.9	11871.3	10710.6	9537.93	8841	8077.89	7600.25	7303.29	6957.41	6639.95	6277.18	5896.31	5562.15	4785.51	4889.09	4826.77	4693.12	4584.53	4504.28	
473k	13124.9	12486.4	11885.2	10730.9	9196.16	6886.13	7931.48	7469.68	7308.38	6097.53	6630.65	6288.21	5908.73	5552.11	5238.67	4949.83	4806.27	4693.41	4601.58	4507.12	
472k	12812.6	12528.4	12154.1	10729.8	9570	8451.63	8056.69	7616.49	7045.57	6958.85	6623.41	6278.41	5920.3	5556.84	5094.42	4884	4825.83	4701.05	4600.08	4526.88	
471k	12737	12461.9	11868.3	10947.8	9736.43	8887.89	8095.03	7622.25	7266.99	6957.85	6506.7	6276.35	5898.08	5567.59	5239.29	4950.83	4827	4697.78	4602.42	4518.15	
470k	13116.3	11668.2	11881.8	10748.1	9803.35	8546.01	7927.23	7470.53	7270.31	6961.23	6629.93	5900.79	5287.96	5476.49	5224.96	4943.17	4753.37	4702.05	4610.22	4528.25	
469k	13126.4	12546.3	11810.9	10720.3	9504.17	8858.04	8085.38	7549.11	7295.69	6924.44	6673.55	5503.65	5854.09	5556.94	5238.93	4947.7	4278.81	4710.47	4607.58	4528.91	
468k	12809.8	12550.8	11884	10778.5	8894.51	8683.34	7258.07	7504.51	7327.37	7020.29	6646.26	6300.84	5934.19	5585.69	5267.13	4973.63	4850.78	4711.26	4581.02	4511.22	
467k	13134.8	12560.1	11827.9	10747.3	9623.09	8871.1	8125.54	7388.35	7079.61	6987.16	6658.45	6305.42	5200.63	5567.36	5262.36	4971.69	4843.36	4720.42	4623.63	4534.21	
466k	12175.9	12514.4	11874	10784.1	9811.59	8685.86	7948.44	7351.17	7290.82	6975.58	6644.57	6295.38	5935.29	5583.55	5255.8	4954.75	4826	4708.2	4613.54	3834.13	
465k	13120.5	12530.8	11125.6	10014.7	9894.3	8737.41	7992.55	7559.78	7358.91	7021.14	6694.37	6330.43	5968.71	4936.9	4312.76	4170.47	4861.02	4729.98	4638.42	4558.86	
464k	13407.5	12230.8	12043.7	10238.4	9727.16	8911.06	8144.66	7667.66	6598.69	7019.7	6712.44	6330.77	5964.98	5614.19	5287.61	4989.28	4865.91	4734.37	4639.78	4555.36	
463k	12698.3	12788.8	12059.1	10841.9	9647.56	8930.81	7838.05	6212.95	7375.99	7032.98	6681.52	6341.79	5963.79	5608.35	5283.35	4355.67	4847.2	4724.74	4632.3	4551.55	
462k	13154.7	12263	12068.7	10853.2	9898.36	8720.87	7994.21	7541.91	7328.65	7024.7	6607.39	5602.1	5453.13	5608.5	5284.01	3956.85	4831.59	4720.59	4630.43	4495.11	
461k	12874.1	12364.3	11124.9	10812.8	9705.54	8145.16	8157.21	7673.36	7379.34	7016.39	6710.11	6331.38	5956.46	5591.45	4736.89	4970.22	4855.84	4684.71	4629.6	4561.25	
460k	13409.3	12769.3	12027.4	10905.6	9604.32	7637.36	8019.92	7536	7310.62	7025	6708.22	6325.78	4950.61	4475.09	4584.89	4981.22	4355.91	4743.05	4643.43	3854.78	
459k	11099.7	12755.5	12556.2	10836.4	9733.38	8924.96	6953.29	7660.45	7378.42	7030.56	6686.45	6334.91	5967.12	5601.59	5287.33	4984.17	4862.09	4734.14	3815.58	4556.42	
458k	12825.7	12763.7	12081.9	9552.11	9714.68	8950.37	8155.43	7674.04	7385.5	7023.88	4136.52	4597.85	5195.99	5085.58	5295.01	5003.14	4865.69	4748.93	4652.94	4566.08	
457k	13245.3	12336.8	12058.7	10838.8	9714.2	8930.85	8168.54	6629.72	7395.82	7060.16	6718.53	6347.27	5962.22	5619.33	5295.29	4105.13	4876.37	4758.42	4648.4	4570.03	
456k	13090	12779.8	12071.6	10532.3	7650.84	8928.97	8187.74	7704.57	7409.22	7080.47	6711.11	6358.17	5983.72	5627.26	5298.63	4439.25	4881.76	4767.64	4663.64	4064.26	
455k	13165.1	12247.3	12104.9	10940.8	9993.99	8329.65	7491.82	7620.74	6235.04	7051.4	5796.05	6324.73	5960.78	5600.64	5274.05	4980.67	4857.35	4751.47	4650.34	4578	
454k	12796.1	10994.9	11653.5	10693.4	9659.47	8052.47	8146.74	7610.43	7392.74	7032.88	6676.13	6287.41	5960.58	5606.28	5283.79	4980.22	4873.17	4199.95	4408.28	4578.26	
